Time,MOD_TICK,MONTIME,REF_SPEED,RF_SP_NF20,SPEED_1,SPEED_2,SPEED_3,SPEED_4,SP_1_NF20,SP_2_NF20,SP_3_NF20,SP_4_NF20,ACC_1,ACC_2,ACC_3,ACC_4,ODOMETER,DEV_ON,V5,V45,ZEROSPD,WSP_FAIL,V5_2,V30,V5_1,FILL_1,VENT_1,FILL_2,VENT_2,FILL_3,VENT_3,FILL_4,VENT_4,SW_REL,DIA_BYTE_0,DIA_BYTE_1,DIA_BYTE_2,DIA_BYTE_3,DIA_BYTE_4,SD_TR_SLIDE,SD_TR_ERR
0,126844500,63422242,268,1234,268,266,266,268,1234,1225,1225,1234,2,-9,1,-2,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.1,126844600,63422292,268,1236,268,266,266,268,1236,1225,1226,1234,2,-6,1,-2,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.2,126844700,63422342,268,1234,268,266,266,268,1234,1227,1227,1233,-7,-3,-2,-8,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.3,126844800,63422392,268,1234,267,267,266,268,1230,1229,1228,1234,-22,2,-2,-6,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.4,126844900,63422442,268,1234,267,267,267,268,1230,1230,1229,1234,-23,-1,-2,-6,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.5,126845000,63422492,268,1233,267,267,267,268,1230,1230,1230,1233,-18,-1,-2,-7,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.6,126845100,63422542,268,1235,267,267,267,268,1230,1231,1231,1235,-13,-1,-2,-7,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.7,126845200,63422592,268,1236,268,267,268,268,1233,1232,1233,1236,-8,-1,0,-3,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.8,126845300,63422642,268,1237,268,267,268,268,1235,1232,1233,1237,-3,-1,-2,-5,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
0.9,126845400,63422692,269,1238,268,267,268,269,1236,1232,1233,1238,0,-1,-7,-5,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1,126845500,63422742,268,1237,268,267,268,268,1237,1232,1233,1237,0,-1,-12,-9,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.1,126845600,63422792,269,1238,268,267,268,269,1237,1232,1233,1238,-1,-1,-13,-13,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.2,126845700,63422842,268,1237,268,268,268,268,1236,1234,1233,1237,-9,-1,-13,-9,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.3,126845800,63422892,268,1236,268,268,268,268,1235,1235,1233,1236,-14,-1,-11,-14,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.4,126845900,63422942,268,1236,268,268,268,268,1236,1235,1233,1236,-10,-1,-11,-11,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.5,126846000,63422992,268,1236,268,268,268,268,1235,1235,1233,1236,-6,-1,-11,-11,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.6,126846100,63423042,268,1237,268,268,268,268,1236,1234,1234,1237,-10,-2,-11,-11,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.7,126846200,63423092,268,1237,268,268,268,268,1236,1234,1236,1237,-6,-7,-5,-9,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.8,126846300,63423142,269,1241,269,268,269,269,1238,1237,1238,1241,-5,-5,0,-3,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
1.9,126846400,63423192,270,1242,269,268,269,270,1240,1237,1238,1242,0,-4,0,1,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2,126846500,63423242,270,1244,270,269,269,270,1243,1238,1240,1244,5,-4,0,0,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.1,126846600,63423292,270,1244,270,268,269,270,1244,1237,1241,1244,1,-11,0,0,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.2,126846700,63423342,270,1245,270,269,270,270,1244,1238,1242,1245,-4,-11,0,0,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.3,126846800,63423392,270,1245,270,269,269,270,1243,1238,1241,1245,-11,-6,-1,-5,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.4,126846900,63423442,270,1243,270,269,270,270,1242,1239,1242,1243,-15,-3,-10,-13,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.5,126847000,63423492,270,1242,269,269,270,269,1241,1239,1242,1241,-15,-3,-6,-22,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.6,126847100,63423542,270,1242,269,269,270,269,1241,1239,1242,1241,-13,-3,-6,-18,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.7,126847200,63423592,270,1243,269,269,270,270,1241,1240,1242,1243,-11,-3,-6,-12,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.8,126847300,63423642,270,1243,269,269,269,270,1241,1240,1241,1243,-11,-3,-8,-8,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
2.9,126847400,63423692,270,1244,270,269,269,270,1242,1240,1241,1244,-10,-3,-13,-3,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3,126847500,63423742,270,1245,270,269,270,270,1244,1240,1242,1245,-5,-6,-11,-3,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.1,126847600,63423792,270,1246,270,269,270,270,1245,1239,1244,1246,0,-8,-6,-1,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.2,126847700,63423842,270,1246,270,269,270,270,1245,1239,1244,1246,-4,-9,-4,-4,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.3,126847800,63423892,270,1245,269,269,270,270,1241,1240,1243,1245,-17,-8,-11,-13,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.4,126847900,63423942,270,1243,269,269,269,270,1238,1240,1240,1243,-27,-6,-19,-15,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.5,126848000,63423992,270,1243,268,269,269,270,1237,1240,1239,1243,-22,-6,-22,-16,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.6,126848100,63424042,269,1241,268,269,268,269,1237,1239,1237,1241,-17,-10,-22,-19,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.7,126848200,63424092,269,1240,268,269,268,269,1237,1238,1236,1240,-12,-14,-20,-18,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.8,126848300,63424142,269,1239,268,268,268,269,1237,1237,1236,1239,-8,-14,-16,-14,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
3.9,126848400,63424192,269,1240,269,268,268,269,1239,1237,1235,1240,-7,-14,-14,-9,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
4,126848500,63424242,269,1241,269,268,268,269,1238,1234,1234,1241,-7,-20,-14,-5,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
4.1,126848600,63424292,269,1241,269,268,268,269,1239,1234,1233,1241,-11,-18,-14,-7,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
4.2,126848700,63424342,269,1240,269,268,268,269,1238,1233,1234,1240,-9,-15,-13,-12,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
4.3,126848800,63424392,269,1240,268,268,267,269,1234,1233,1232,1240,-18,-15,-14,-16,2567,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2822,1,0,0,0,0,0,0
